cluster_num,top_title,description,link
0,현대차 직원은 출입증도 달라…전자잉크 LCD 사원증 특허,현대차는 국내외 기업 및 기관에서 표준으로 사용하고 있는 플라스틱 RF 카드 대신 전자잉크 LCD 디스플레이를 적용한 출입증에 대한 특허를 출원하고 국내외 사업장에 단계적으로 활용할 계획이라고 13일 밝혔다. 전자종이 비콘 출입증은 LCD 디스플레이에 전자잉크를 표출하는 방식으로 인적정보를 수정 및...,https://zdnet.co.kr/view/?no=20240813130506
1,"반도건설, 특허출원 지하 구조물 시공법 현장 첫 적용",'톱다운 램프 슬래브 구축 공법' 서대문 재개발현장 도입…공기 단축·공사비 절감 반도건설은 협력사인 바로건설기술과 공동 개발해 특허 출원한 '톱다운 램프 슬래브 구축 공법'을 서울 서대문 영천구역 재개발 현장에 처음으로 도입한다고 12일 밝혔다. 이 기술은 지하 구조물 시공 시 상부에서 하부로 각층의...,https://www.yna.co.kr/view/AKR20240812087600003?input=1195m
3,"시나몬랩, 새 제형의 ‘스낵형 건강기능식품’ 특허 취득","바이오 이노베이터 시나몬랩이 스낵형 건강기능식품의 특허를 취득했다고 13일 밝혔다. 시나몬랩은 ""원료의 특성상 섭취가 어렵거나 불편한 기능성 원료를 남녀노소 누구나 맛있고 편리하게 섭취할 수 있도록 ‘스낵형’으로 만드는 기술로 국내 특허를 취득했다""며 ""해외 진출을 위한 국제 특허(PCT)도 출원해...",https://www.donga.com/news/Economy/article/all/20240813/126504724/1
5,"휴엠앤씨, 발암물질 억제 화장용 소품 제조 레시피 특허 출원",휴온스그룹 헬스케어 부자재 전문기업 휴엠앤씨는 니트로사민을 억제한 니트릴부타티엔고무(NBR) 재질 화장용 소품 제조 레시피를 개발하고 특허를 출원했다고 13일 밝혔다. 니트로사민은 NBR 등 고무제품 제조 과정에서 발생하는 발암물질이다. 세계보건기구(WHO) 산하의 국제 암연구소(IARC)는 니트로사민을...,http://www.consumernews.co.kr/news/articleView.html?idxno=712498
7,"궁중비책, 신규 키즈라인 런칭.. 특허출원성분 로얄테라티가드 함유",특히 키즈라인에는 궁중비책의 특허출원성분인 로얄테라티가드™(Royal TheraTea Guard™)를 함유해 다양한 어린이 피부 문제 케어를 돕는다. 로얄테라티가드™(특허출원 제10-2024-0060800호)는 조선 왕실 어린이 피부를 건강하게 지켜주던 비법을 현대 과학으로 재해석하여 만든 독자적인 특허출원성분이다. 매화...,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202408121357332990872
11,"오쎄, 천연 성분 LDSF-6 complex 성분 특허 출원 ""스포츠세제 독자성분""",이로운넷 = 김재겸 기자 생활문화기업 ㈜오쎄가 천연 성분인 LDSF-6 complex의 특허를 출원했다. 특허 명칭은 '탈취 및 항균 기능을 가지고 있는 LDSF-9 complex를 포함하는 스포츠세제 조성물'로 출원을 마쳤다. LDSF-6 complex 성분은 스포츠세제의 독자적인 성분으로 운동복의 기능성을 유지하면서 세척력을...,https://www.eroun.net/news/articleView.html?idxno=45859
12,"제이엘케이, 'AI 학습 원천 기술' 국내 특허 획득",의료 인공지능(AI)기업 제이엘케이(대표 김동민)는 자사가 개발한 AI 학습 원천 기술의 국내 특허를 획득했다고 9일 밝혔다. 특허청에 따르면 제이엘케이가 출원한 '정규화된 합성곱 신경망 시스템 및 합성곱 신경망 정규화 방법'은 이달 기술 특허 등록이 최종 결정됐다. 제이엘케이는 이번 특허 결정으로 의료...,https://www.rapportian.com/news/articleView.html?idxno=210208
13,"[특징주] 큐라티스, '비만치료제 삭센다' 특허 만료 소식에 강세",비만치료제 시장이 오는 2028년 1300억달러(약 180조원) 규모로 성장이 예상되는 가운데 지난해 1조3000억원의 매출고를 올린 삭센다에 대한 특허가 올해... 이들 회사는 노보 노디스크와 특허 소송을 벌인 이후 합의해 올해부터 제품을 출시하기로 했다. 삭센다 주성분은 리라글루타이드로 췌장에서 인슐린...,https://www.widedaily.com/news/articleView.html?idxno=242340
15,"홍익대 이형주 교수, 선수 성장 돕는 '스킬트리' 특허 출원","홍익대학교 이형주 교수가 농구 지도에 있어 체계적인 교육 방법을 제공하기 위해 개발한 ""스킬트리""에 대한 특허를 출원했다고 발표했다. 이번 특허 출원은 농구 교육의 혁신적인 접근 방식을 제시하며, 지도자가 기초 단계부터 성장 단계에 이르기까지의 지도 과정을 효과적으로 설계하고 전달할 수 있도록 돕기...",http://www.hemophilia.co.kr/news/articleView.html?idxno=27985
17,"페스티벌온, 특허청 ‘지식재산 경영인증’ 취득","주식회사 페스티벌온은 지난 9일 특허청으로부터 ‘지식재산(Intellectual Property) 경영인증’을 취득했다고 밝혔다. 지식재산 경영인증은 ‘발명진흥법’... 14건의 등록 특허를 보유하고 있으며 등록 건을 제외한 20건이 특허 출원 되어 심사 중”이라고 설명했다. 페스티벌온, 위드 더 레이크와 업무협약 체결",https://www.venturesquare.net/935973
