,No.,발명의 명칭,요약,독립항,LINK
0,1,"드론 이용 숏크리트, 녹생토, 시드스프레이 방법(shotcrete, green soil, seed spray method using drone)","본 발명은 공사, 건설, 건축, 토공, 타설, 분사, 보수, 숏팅, 코팅, 도장, 포장, 면처리, 녹생토, 숏크리트, 시드스프레이, 인테리어, 리모델링 등을 하는 또는 등에 이용되는 드론, 비행드론, 무인비행드론, 무인비행기, 경량비행기, 무인경량비행기 등에 관한 것이다. ","[청구항1]
드론을 이용하여 숏크리트, 녹생토, 시드스프레이의 작업을 하는 방법으로서,
상기 작업에 상기 드론이 구비되는 단계; 
상기 드론에 중공체가 거치되는 단계; 
상기 중공체에 연결수단이 구비되는 단계; 
상기 연결수단에 의하여 상기 중공체가 상기 드론에 연결되는 단계; 
상기 중공체의 내부에 파동체가 구비되는 단계; 
상기 파동체에 이격되어 상기 중공체의 내부에 자성체가 구비되는 단계; 
상기 자성체에 이격되어 상기 중공체의 내부에 콘이 구비되는 단계; 
상기 콘에 이격되어 상기 중공체의 내부에 망이 구비되는 단계; 
상기 망에 이격되어 상기 중공체의 내부에 봉이 구비되는 단계; 
상기 봉에 이격되어 상기 중공체의 내부에 틀이 구비되는 단계; 
상기 틀에 이격되어 상기 중공체의 내부에 나선이 구비되는 단계; 
상기 중공체의 측면에 외부로 돌출되도록 인젝터가 구비되는 단계; 
상기 인젝터의 내부에 체크밸브가 거치되는 단계; 
상기 인젝터로 첨가제가 유입되는 단계; 
상기 유입된 첨가제가 상기 인젝터를 거쳐 상기 중공체의 내부로 투입되는 단계; 
상기 중공체의 내부를 통과되는 물질에 상기 첨가제가 첨가되는 단계; 
상기 체크밸브가 상기 인젝터를 통하여 첨가제가 상기 중공체의 내부로 투입되게 하면서 상기 중공체 내부의 물질이 상기 인젝터를 통하여 외부로 유출되지 못하도록 하는 단계; 
상기 물질이 상기 중공체의 내부를 통과하면서 상기 파동체에 의하여 파동되는 단계; 
상기 물질이 상기 중공체의 내부를 통과하면서 상기 자성체에 의하여 자화되는 단계; 
상기 물질이 상기 중공체의 내부를 통과하면서 상기 콘, 망, 봉, 틀 및 나선에 의하여 와류되는 단계; 와,
상기 드론에 본체가 구비되는 단계; 
상기 본체에 지지대가 구비되는 단계; 
상기 지지대에 날개가 구비되는 단계; 
상기 날개를 회전시키는 모터가 구비되는 단계; 
상기 모터에 전선이 연결되는 단계; 
상기 전선에 밧데리가 연계되는 단계; 
상기 날개는 회전하면서 아래 방향의 하향류를 생성하는 단계; 
상기 하향류에 의하여 상기 드론이 상승 비행하는 단계; 
상기 날개는 회전하면서 뒤 방향의 배향류를 생성하는 단계; 
상기 배향류에 의하여 상기 드론이 수평 비행하는 단계; 와, 
상기 드론에 촬영장치가 구비되는 단계; 
상기 드론이 상기 작업의 현장을 이동하는 단계; 
상기 촬영장치에 의하여 상기 작업의 현장이 촬영되는 단계; 
상기 드론을 원격으로 조정하는 원격조정기가 구비되는 단계; 와,
상기 중공체를 통과한 물질이 상기 숏크리트에 이용되는 단계;
상기 물질이 상기 녹생토에 이용되는 단계;
상기 물질이 상기 시드스프레이에 이용되는 단계; 가 포함되는 것을 특징으로 하는 드론 이용 작업 방법",https://www.keywert.com/detail?uuid=1fb490fa-23e7-420f-8871-70cd9140e7c0
1,2,"드론 및 이에 의한 분사, 숏팅, 코팅, 도장, 타설, 포설, 주입, 포장, 다짐, 양생, 정화, 청정, 청소, 작업, 면처리, 페인팅, 크리닝, 공기청정, 공기정화(drone and spray, shooting, coating, painting, pouring, injection, paving, compaction, curing, cleaning, works)","본 발명은 분사, 숏팅, 코팅, 도장, 타설, 포설, 주입, 포장, 다짐, 양생, 정화, 청정, 청소, 작업, 면처리, 페인팅, 크리닝, 공기청정, 공기정화 등을 하는 드론, 장비, 장치, 방법, 숏팅기, 코팅기, 도장기, 포장기 등에 관한 것이다. ","[청구항1]
하기의 작업을 하는 드론으로서, 
상기 드론에 중공체가 구비되고,
상기 중공체에 이격되어 상기 드론에 촬영장치가 거치되고,
상기 촬영장치에 의하여 상기 작업이 촬영되고, 
상기 드론의 헤드에 라이트가 구비되고, 
상기 드론의 상부에 프로펠러가 구비되고, 
상기 프로펠러를 회전시키는 모터가 구비되고,
상기 모터에 전선이 연결되고,
상기 전선에 밧데리가 연계되고,
상기 밧데리에 태양전지가 연계되고,
상기 태양전지는 전기를 생산하고,
상기 중공체의 내부에 파동체가 거치되고,
상기 파동체에 이격되어 상기 중공체의 내부에 콘이 구비되고,
상기 콘은 중공콘이고,
상기 중공체의 내부에 구비된 상기 중공콘의 내부에 봉이 구비되고,
상기 봉의 외부에 이격되어 상기 중공체의 내부에 망이 구비되고,
상기 망의 후방에 이격되어 상기 중공체의 내부에 틀이 구비되고,
상기 중공체의 내부에 구비된 상기 틀의 내부에 자성체가 매입되고, 
상기 틀의 후방에 이격되어 상기 중공체의 내부에 나선이 구비되고,
상기 파동체, 콘, 봉, 망, 틀, 자성체, 나선은 상기 중공체의 내부에 거치되게 되고,
상기 중공체를 거친 재료가 하기의 작업에 이용되고, 
상기 중공체의 입구로 유입된 상기 재료는 상기 중공체의 내부를 관통하여 상기 중공체의 출구로 배출되고, 
상기 중공체의 내부를 거치면서 상기 재료가 상기 파동체에 의하여 파동되고, 
상기 파동의 후에 상기 재료가 상기 중공체의 내부를 거치면서 상기 콘에 의하여 폭기되고,
상기 폭기의 후에 상기 재료가 상기 중공체의 내부를 거치면서 상기 봉에 의하여 교반되고,
상기 봉에 의한 교반의 후에 상기 재료가 상기 중공체의 내부를 거치면서 상기 망에 의하여 교반되고, 
상기 망에 의한 교반의 후에 상기 재료가 상기 중공체의 내부를 거치면서 상기 틀에 의하여 교반되고, 
상기 틀에 의한 교반의 후에 상기 재료가 상기 중공체의 내부를 거치면서 상기 자성체에 의하여 자화되고,
상기 자화의 후에 상기 재료가 상기 중공체의 내부를 거치면서 상기 나선에 의하여 와류되고,
상기 파동, 폭기, 교반, 자화, 와류된 재료가 상기 중공체를 거쳐 배출되고, 
상기 작업은 분사, 숏팅, 코팅, 도장, 타설, 포설, 주입, 정화, 청정, 청소, 공기청정, 공기정화 중에서 선택된 하나이고,
상기 중공체에 연계되어 상기 드론에 분사기, 숏팅기, 코팅기, 도장기, 타설기, 포설기, 주입기 중에서 선택된 하나가 구비되고,
상기 분사는 상기 중공체를 거쳐 배출된 재료가 상기 분사기에 의하여 대상에 분사되는 것이고,
상기 숏팅은 상기 중공체를 거쳐 배출된 재료가 상기 숏팅기에 의하여 대상에 숏팅되는 것이고,
상기 코팅은 상기 중공체를 거쳐 배출된 재료가 상기 코팅기에 의하여 대상에 코팅되는 것이고,
상기 도장은 상기 중공체를 거쳐 배출된 재료가 상기 도장기에 의하여 대상에 도장되는 것이고,
상기 타설은 상기 중공체를 거쳐 배출된 재료가 상기 타설기에 의하여 대상에 타설되는 것이고,
상기 포설은 상기 중공체를 거쳐 배출된 재료가 상기 포설기에 의하여 대상에 포설되는 것이고,
상기 주입은 상기 중공체를 거쳐 배출된 재료가 상기 주입기에 의하여 대상에 주입되는 것이고,
상기 정화는 상기 중공체를 거쳐 배출된 재료가 상기 분사기에 의하여 분사되어 대상을 정화하는 것이고,
상기 청정은 상기 중공체를 거쳐 배출된 재료가 상기 분사기에 의하여 분사되어 대상이 청정되는 것이고,
상기 청소는 상기 중공체를 거쳐 배출된 재료가 상기 분사기에 의하여 분사되어 대상을 청소하는 것이고,
상기 공기청정은 상기 중공체를 거쳐 배출된 재료가 상기 분사기에 의하여 대상에 분사되어 상기 대상의 공기 중의 분진이 제거되어 상기 공기가 청정되는 것이고,
상기 공기정화는 상기 중공체를 거쳐 배출된 재료가 상기 분사기에 의하여 대상에 분사되어 상기 대상의 공기 중의 오염이 제거되어 상기 공기가 정화되는 것을 특징으로 하는 작업 드론",https://www.keywert.com/detail?uuid=8bb8f9b7-e678-4fb7-b4d3-9f821d25151a
2,3,콘크리트의 공사에 이용되는 드론(concrete construction drone),"본 발명은 드론이 이용되는 공사, 건설, 건축, 운반, 투입, 이송, 타설, 분사, 진동, 양생, 도장, 숏크리트, 소독, 청정, 먼지제거 등에 관한 것이다. ","[청구항1]
콘크리트의 공사에 이용되는 드론(공사용 드론)으로서,
상기 드론의 하부에 진동기가 연결되고,
상기 진동기는 일정의 길이를 가진 봉 형상의 진동기이고, 
상기 콘크리트가 타설되고,
상기 드론이 이동하면서 상기 드론의 하부에 연결된 진동기가 상기 타설된 콘크리트에 투입되고,
상기 콘크리트에 투입된 진동기의 진동에 의하여 상기 타설된 콘크리트가 진동되고, 
상기 드론에 노즐이 구비되고,
상기 노즐에 호스가 연결되고,
상기 드론이 상기 타설된 콘크리트의 상부로 이동하고, 
상기 드론의 이동에 의하여 상기 노즐이 이동되고,
상기 호스를 통하여 공급되는 물이 상기 노즐을 통하여 상기 타설된 콘크리트에 분사되고,
상기 분사된 물에 의하여 상기 타설된 콘크리트의 양생이 촉진되는 것을 특징으로 하는 콘크리트의 공사에 이용되는 드론 또는 공사용 드론",https://www.keywert.com/detail?uuid=e2ed08db-9d49-40ea-a2f6-c74088c87ea4
3,4,"콘크리트 공사용 드론, 무인비행기(construction drone, unmanned airplane)","본 발명은 a) 드론이 이용되는 건설, 공사, 건축, 토공, 타설, 분사, 보수, 숏팅, 코팅, 도장, 포장, 면처리, 녹생토, 숏크리트, 시드스프레이, 인테리어, 리모델링; b) 또는 상기 건설 내지 리모델링 등을 하는 드론; 에 관한 것이다. ","[청구항1]
콘크리트의 공사에 이용되는 드론(무인비행기)으로서,
상기 드론의 하부에 거치대의 일측이 구비되고,
상기 거치대의 타측에 진동하는 장치가 구비되고,
상기 드론의 이동에 의하여 상기 장치가 이동되고,
상기 드론이 이동하여 상기 장치를 타설된 콘크리트에 투입시키고, 
상기 타설된 콘크리트에 투입된 상기 장치가 진동하고,
상기 장치의 진동에 의하여 상기 타설된 콘크리트가 진동되는 것을 특징으로 하는 콘크리트 공사용 드론, 무인비행기
[청구항2]
콘크리트의 공사에 이용되는 드론(무인비행기)으로서,
상기 드론은 제1드론과 제2드론으로 구성되고, 
상기 제1드론에 제1거치대가 구비되고,
상기 제1거치대에 호스의 일단이 구비되고,
상기 호스의 타단에 펌프가 연계되고, 
상기 제1드론의 이동에 의하여 상기 호스의 일단이 이동되고,
상기 펌프를 통하여 공급되는 콘크리트가 상기 호스를 거쳐 상기 일단을 통하여 타설되고,
상기 제2드론의 하부에 제2거치대의 일측이 구비되고,
상기 제2거치대의 타측에 진동하는 장치가 구비되고,
상기 제2드론의 이동에 의하여 상기 장치가 이동되고,
상기 제2드론이 이동하여 상기 장치를 상기 타설된 콘크리트에 투입시키고, 
상기 타설된 콘크리트에 투입된 상기 장치가 진동하고,
상기 장치의 진동에 의하여 상기 타설된 콘크리트가 진동되는 것을 특징으로 하는 콘크리트 공사용 드론, 무인비행기",https://www.keywert.com/detail?uuid=f59ced06-4b77-4350-8541-f4da6f29de3b
4,5,"진단, 시설진단, 안전진단 용도의 드론, 로봇, 모빌리티(drone, robot, mobility for inspection, facility inspection, safety inspection)","본 발명은 진단, 시설진단, 안전진단 용도의 드론, 로봇, 모빌리티 또는 진단, 시설진단, 안전진단에 이용되는 드론, 로봇, 모빌리티 또는 크랙, 균열, 변형, 변위, 침하, 파손, 손상, 부식, 오염, 얼룩, 오염물, 이물질, 침전물 등의 진단이나 측정에 이용되는 드론, 로봇, 모빌리티에 관한 것이다. ","[청구항1]
시설물의 진단에 이용되는 모빌리티로서,
상기 모빌리티에 메쉬가 구비된 것을 특징으로 하는 모빌리티
[청구항2]
시설물의 진단에 이용되는 모빌리티로서,
상기 모빌리티에 메쉬가 구비되고,
상기 메쉬는 상기 모빌리티에 접촉되어 구비되거나 또는 상기 모빌리티에 거치된 거치대에 구비되고, 
상기 모빌리티가 상기 메쉬를 상기 시설물의 크랙, 균열, 공극, 간극, 변형, 변위, 침하, 분리, 파쇄, 분쇄, 요철, 조인트, 싱크홀, 철근, 파괴, 파손, 손상, 훼손, 손괴, 이완, 이상, 열화, 식생, 불량, 누수, 녹, 때, 부식, 오염, 얼룩, 오염물, 이물질, 스케일, 침전물, 이음부, 연결부, 절취부, 절단부로 이루어진 군에서 선택된 하나의 부위에 접촉 또는 접근 또는 이격시키고, 
상기 메쉬와 상기 부위가 동시에 촬영되고,
상기 진단에 상기 촬영된 영상이나 사진이 이용되는 것을 특징으로 하는 모빌리티
[청구항3]
시설물의 진단에 이용되는 모빌리티로서,
상기 모빌리티에 메쉬가 구비되고,
상기 메쉬는 상기 모빌리티에 접촉되어 구비되거나 또는 상기 모빌리티에 거치된 거치대에 구비되고, 
상기 메쉬에 2개 이상의 구멍이 형성되고, 
상기 모빌리티가 상기 메쉬를 상기 시설물의 크랙, 균열, 공극, 간극, 변형, 변위, 침하, 분리, 파쇄, 분쇄, 요철, 조인트, 싱크홀, 철근, 파괴, 파손, 손상, 훼손, 손괴, 이완, 이상, 열화, 식생, 불량, 누수, 녹, 때, 부식, 오염, 얼룩, 오염물, 이물질, 스케일, 침전물, 이음부, 연결부, 절취부, 절단부로 이루어진 군에서 선택된 하나의 부위에 접촉 또는 접근 또는 이격시키고, 
상기 메쉬와 부위가 동시에 촬영되고,
상기 촬영된 영상이나 사진으로부터 상기 부위에 접촉 또는 접근 또는 이격되는 상기 메쉬의 구멍 개수가 산정되고, 
상기 산정된 구멍 개수가 상기 진단에 이용되는 것을 특징으로 하는 모빌리티",https://www.keywert.com/detail?uuid=3bd67101-bac1-4fb2-b1e8-d41e90c0deb4
5,6,"드론, uam, uav, 항공기, 모빌리티, 드론택시, 도심항공교통, 도심항공모빌리티(drone, uam, mobility, aircraft, drone taxi, urban air mobility, unmanned aerial vehicle)","본 발명은 드론(drone), UAM(urban air mobility), UAV(unmanned aerial vehicle), 항공기(aircraft), 모빌리티(mobility), 드론택시(drone taxi), 도심항공교통(UAM), 도심항공모빌리티(UAM); 또는 웨어러블 수단, 센서, 버튼, 랜턴, 카메라, 무전기, 알림기, 램프, 제어기, 배터리, 통신장치, 통신망, 서버, 컴퓨터, 핸드폰, 태블릿, 단말기 등이 구비되는 또는 등에 연계되는 상기 드론 내지 도심항공모빌리티; 등에 관한 것이다. ","[청구항1]
도심항공모빌리티(UAM, urban air mobility)으로서,
a) 웨어러블 수단과; 
상기 UAM 또는 웨어러블 수단에 구비된 센서, 버튼, 랜턴, 카메라, 무전기, 알림기, 램프, 계측기, 제어기 중에서 선택된 하나 이상의 장치와; 
상기 UAM을 운전하는 사람에게 구비된 스마트폰과;
상기 장치에 전기를 공급하는 배터리와;
상기 배터리가 내장되는 것으로 상기 웨어러블 수단에 형성된 포켓과; 
상기 장치와 스마트폰에 연계되는 통신장치와;
상기 통신장치에 연계되는 통신망과;
상기 통신망에 연계되는 서버와;
상기 서버 또는 통신망에 연계되는 단말기; 가 포함되거나,
b) 또는 웨어러블 수단; 
상기 웨어러블 수단의 전면에 구비된 장치인 센서, 버튼, 랜턴, 카메라, 무전기, 알림기;
상기 웨어러블 수단의 후면에 구비된 장치인 램프, 카메라, 제어기;
상기 UAM을 운전하는 사람에게 구비된 스마트폰;
상기 장치에 전기를 공급하는 배터리;
상기 배터리가 내장되는 것으로 상기 웨어러블 수단에 형성된 포켓; 
상기 장치와 배터리에 연결되는 전선;
상기 장치와 스마트폰에 연계되는 통신장치;
상기 통신장치에 연계되는 통신망 또는 이동통신망;
상기 통신망에 연계되는 서버 또는 클라우드서버;
상기 서버 또는 통신망에 연계되는 컴퓨터, 핸드폰, 태블릿 중에서 선택된 하나 이상의 단말기;
상기 서버와 단말기가 구비된 관제센터; 가 포함되거나,
c) 또는 웨어러블 수단; 
상기 웨어러블 수단의 전면 또는 내부에 구비된 센서; 
상기 센서에 포함되는 위치센서, 생체센서, 가스센서, 환경센서, 공기질센서;
상기 전면에 구비되면서 상기 센서에 이격된 버튼 또는 SOS버튼;
상기 전면에 구비되면서 상기 버튼에 이격된 랜턴;
상기 전면에 구비되면서 상기 랜턴에 이격된 카메라;
상기 전면에 구비되면서 상기 카메라에 이격된 무전기;
상기 무전기에 포함되는 마이크, 스피커;
상기 전면에 구비되면서 상기 무전기에 이격된 알림기; 
상기 웨어러블 수단의 후면에 구비된 램프;
상기 후면에 구비되면서 상기 램프에 이격된 카메라;
상기 후면에 구비되면서 상기 카메라에 이격된 제어기;
상기 UAM을 운전하는 사람에게 구비된 스마트폰;
상기 센서 내지 스마트폰 중에서 선택된 하나 이상의 장치에 전기를 공급하는 배터리;
상기 배터리가 내장되는 것으로 상기 웨어러블 수단에 형성된 포켓; 
상기 장치와 배터리에 연결되는 전선;
상기 장치에 연계되는 통신장치;
상기 통신장치에 포함되는 LTE, WiFi, Bluetooth, 게이트웨이;
상기 통신장치에 연계되는 통신망;
상기 스마트폰을 인식하여 상기 스마트폰을 통신망에 연결하는 비콘(beacon);
상기 통신망에 연계되는 서버;
상기 서버 또는 통신망에 연계되는 단말기;
상기 단말기에 포함되는 컴퓨터, 핸드폰, 태블릿; 
상기 서버와 단말기가 구비된 관제센터; 
상기 스마트폰과 단말기에 설치되는 어플리케이션 또는 어플리케이션 파일; 
상기 UAM을 관리하는 사람에 구비된 상기 핸드폰; 
상기 스마트폰과 통화되는 상기 핸드폰; 
상기 웨어러블 수단에 구비된 무전기와 통화되는 상기 관제센터에 구비된 무전기;
상기 웨어러블 수단에 포함되는 밴드, 통신밴드, 스마트밴드; 
상기 웨어러블 수단에 구비된 자기장기;
상기 관제센터에 구비된 오존기;
상기 관제센터에 구비되면서 상기 오존기에 이격된 음이온기;
상기 관제센터에 구비되면서 상기 음이온기에 이격된 청정기; 가 포함되는 것을 특징으로 하는 도심항공모빌리티",https://www.keywert.com/detail?uuid=4951900d-64e5-439a-8e73-aeec81c963b5
6,7,"진단, 크랙진단, 손상진단, 시설진단을 하는 드론, 수단, 장비, 시스템(drone, measures, equipment, system for inspection, 3d scanning, photographing)","본 발명은 진단, 계측, 측정, 측량, 관측, 촬영, 균열측정, 손상측정, 모니터링의 수단, 기술, 장비, 드론, 방법, 시스템; 또는 IT, IC, AI, VR, AR, MR, 5G, ICT, IoT, LTE, WiFi, 딥러닝, 융합기술, 빅데이터, 클라우드, 웨어러블, 메타버스, 4차산업기술 등이 이용되는 상기 진단 내지 모니터링, 수단 내지 시스템;에 관한 것이다. ","[청구항1]
시설을 진단하는 드론으로서,
상기 드론에 거치대가 구비되고,
상기 거치대에 크랙 게이지가 거치되고,
상기 크랙 게이지는 크랙의 폭, 길이, 크기, 규모 중 하나를 측정하는 것이고,
상기 드론이 상기 시설에 접근하여 상기 시설에 형성된 크랙에 상기 크랙 게이지를 접촉시키고,
상기 드론에 구비된 카메라로 상기 크랙 게이지와 상기 크랙 게이지에 접촉된 상기 시설의 크랙을 동시에 촬영하고,
상기 촬영된 영상이나 사진에 상기 크랙 게이지에 접촉된 상기 시설의 크랙이 포함되고, 
상기 촬영된 영상이나 사진을 상기 드론에 구비된 통신기로 송신하고,
상기 송신된 영상이나 사진을 서버, 클라우드, 컴퓨터, 폰, 컴퓨터앱, 폰앱으로 이루어진 군에서 선택된 하나로 수신하고,
상기 수신된 영상이나 사진으로부터 상기 크랙 게이지에 접촉된 상기 크랙의 폭, 길이, 크기, 규모 중 하나를 산정하고,
상기 진단에 상기 산정된 크랙의 폭, 길이, 크기, 규모 중 하나가 이용되는 것을 특징으로 하는 진단 드론",https://www.keywert.com/detail?uuid=5f1c13bc-1558-4ad5-ae09-534477cdcb5c
7,8,"시설 진단, 3d 스캐닝, 영상 촬영을 하는 드론, 수단, 장비, 시스템(drone, measures, equipment, system for inspection, 3d scanning, photographing)","본 발명은 진단, 계측, 측정, 측량, 관측, 촬영, 스캐닝, 3D스캐닝, 모니터링의 수단, 기술, 장비, 드론, 방법, 시스템; 또는 IT, IC, AI, VR, AR, MR, 5G, ICT, IoT, LTE, WiFi, 딥러닝, 융합기술, 빅데이터, 클라우드, 웨어러블, 메타버스, 4차산업기술 등이 이용되는 상기 진단 내지 모니터링, 수단 내지 시스템;에 관한 것이다. ","[청구항1]
시설을 진단하는 시스템으로서,
상기 시스템에 드론이 포함되고, 
상기 드론에 스캐너가 거치되고,
상기 스캐너에 카메라가 거치되고,
상기 스캐너 및 카메라에 통신기가 연계되고,
상기 드론이 비행하면서 상기 스캐너로 상기 시설을 스캐닝 또는 3차원 스캐닝하면서 상기 카메라로 상기 시설을 촬영하고,
상기 스캐닝 및 촬영의 정보가 상기 통신기에 의하여 또는 상기 통신기의 인터넷에 의하여 송신되고, 
상기 전송된 정보가 서버, 클라우드, 컴퓨터, 태블릿, 스마트폰, 컴퓨터앱, 태블릿앱, 스마트폰앱 중에서 선택된 하나에 수신되고,
상기 수신된 정보에 의하여 상기 시설에 대한 3차원 도면이 작성되면서 상기 시설에 형성된 크랙, 균열, 공극, 간극, 변형, 변위, 오염 중에서 선택된 하나 이상이 판독되고,
상기 작성에는 상기 스캐닝의 내용이 이용되고, 
상기 판독에는 상기 촬영의 영상이나 사진이 이용되고, 
상기 진단 또는 시스템에 상기 작성 및 판독된 결과가 이용되면서 IT, ICT, LTE, WiFi, IoT, 빅데이터, 딥러닝, AI, VR 및 메타버스가 이용되고, 
상기 IT(information technology)는 상기 정보(information)를 이용하는 기술(technology)이고, 
상기 ICT(information and communication technology)는 상기 정보(information)와; 상기 통신기에 의한 통신(communication)을; 이용하는 기술(technology)이고, 
상기 LTE 또는 WiFi는 상기 통신기에 포함되고, 
상기 IoT(internet of thing)는 사물(thing)인 상기 스캐너 및 카메라에 연계되는 상기 통신기에 의한 인터넷(internet)이고, 
상기 빅데이터에 상기 정보 및 결과의 데이터가 포함되고, 
상기 딥러닝(deep learning)은 상기 서버 내지 스마트폰앱 중에서 선택된 하나에 인간의 뇌신경 회로를 모방한 신경 회로망(neural network)을 구성하여 상기 데이터 및 빅데이터를 사람처럼 학습(learning)하는 것이고, 
상기 AI(artificial intelligence)는 상기 서버 내지 스마트폰앱 중에서 선택된 하나에 저장된 상기 정보, 결과, 데이터, 빅데이터 및 상기 학습의 내용 또는 상기 학습의 결과와; 인간이 지닌 지적 능력(intelligence)을 인공적(artificial)으로 구현한 인공지능 모듈이나 모델을; 이용하여 상기 시설을 진단하거나 또는 상기 시설의 상태를 파악하는 것이고, 
상기 VR(virtual reality)은 상기 서버 내지 스마트폰앱 중에서 선택된 하나에 디스플레이되는 가상(virtual)의 세계에서 사람이 상기 진단에 대하여 실제(reality)와 같은 체험을 하는 것이고, 
상기 메타버스(metaverse)는 상기 서버 내지 스마트폰앱 중에서 선택된 하나에 디스플레이되는 3차원 가상공간에서 사람을 대신하여 활동하는 아바타가 실제 현실과 같이 상기 진단의 활동을 하는 것을 특징으로 하는 진단 시스템",https://www.keywert.com/detail?uuid=624103de-0136-4224-9bf7-3f92a093ff21
8,9,증강 현실을 이용한 군용 드론 포격 훈련 시스템( unmanned aerial vehicle training system ),"본 발명은 증강 현실을 이용한 군용 드론 포격 훈련 시스템 드론 훈련 시스템에 관한 것으로, 좀더 구체적으로 경로 제어부(110)가 구비된 드론 조정기(100)와; 상기 경로 제어부(110)의 입력에 반응하여 학습 드론의 경로(GPS2)를 생성하여 위성 영상 표출부(300)에 전달하는 경로 생성 모듈(210)이 구비되는 가상 드론부(200)와; 교사 드론의 경로(GPS1) 및 교사 드론 위치(P1)와 상기 경로 생성 모듈(210)에서 생성된 학습 드론의 경로(GPS2) 및 학습 드론 위치(P2)를 2D 또는 3D 위성 영상(지도 영상, video 1)에 표출하는 위성 영상 표출부(300)와; 드론이 항공에서 주행 하면서 촬영한 실사 영상(video 2)을 표출하는 실사 영상 표출부(400)와; 상기 교사 드론의 경로(GPS1)와 학습 드론의 경로(GPS2)의 차이를 기초로 하여 학습 드론의 운행 경로의 정확도를 평가하는 운행 경로 평가부(500);를 포함하여 구성되는 것을 특징으로 하는 증강 현실을 이용한 드론 훈련 시스템에 관한 것이다.","[청구항1]
드론 훈련 시스템에 있어서,
경로 제어부(110)가 구비된 드론 조정기(100)와;
상기 경로 제어부(110)의 입력에 반응하여 학습 드론의 경로(GPS2)를 생성하여 위성 영상 표출부(300)에 전달하는 경로 생성 모듈(210)이 구비되는 가상 드론부(200)와;
교사 드론의 경로(GPS1) 및 교사 드론 위치(P1)와 상기 경로 생성 모듈(210)에서 생성된 학습 드론의 경로(GPS2) 및 학습 드론 위치(P2)를 2D 또는 3D 위성 영상(지도 영상, video 1)에 화면 1에 표출하는 위성 영상 표출부(300)와;
드론이 항공에서 주행 하면서 촬영한 실사 영상(video 2)을 화면 2에 표출하는 실사 영상 표출부(400)와;
상기 교사 드론의 경로(GPS1)와 학습 드론의 경로(GPS2)의 차이를 기초로 하여 학습 드론의 운행 경로의 정확도를 평가하는 운행 경로 평가부(500);를 포함하여 구성되는 것을 특징으로 하는 증강 현실을 이용한 드론 훈련 시스템.",https://www.keywert.com/detail?uuid=059f073b-082c-4aff-b493-66752d921376
9,10,"공사용 로봇, 드론, 장비, 3d프린터(construction robot, drone, equipment, 3d printer)","본 발명은 자화, 자율, 진동, 가진, 파동, 오존, 음이온, 회전, 분해, 전해, 유동화, 방전, 방역, 살균, 소독; 상기 자화 내지 살균 등이 가미되는 소독; 살균이 가미되는 상기 자화 내지 소독; 등이 되는 또는 등을 하는 공사, 작업, 정화, 청정, 처리, 소독, 재료, 자재, 물품, 장비, 장치, 시설, 수단, 장치, 방법, 공법, 드론, 로봇, UAM, 킥보드, 시스템, 3D프린터, 모빌리티 등에 관한 것이다. ","[청구항1]
공사에 이용되는 장비로서
상기 장비에 로봇, 드론, 3D프린터가 포함되고,
a) 상기 로봇은 상기 공사에 이용되는 철근을 가공하고, 상기 가공된 철근을 이동하고, 상기 이동된 철근을 배근하고, 상기 배근된 철근을 결속하고, 
상기 드론은 상기 로봇, 3D프린터 및 공사현장의 상부를 이동하면서 상기 로봇, 3D프린터 및 공사장면을 촬영하고,
상기 촬영된 영상은 상기 드론에 구비된 송신기에 의하여 송신되고, 
 상기 3D프린터는 자신에 구비되면서 3차원 이동하는 플로터를 통하여 상기 공사의 재료를 타설하거나,
b) 상기 로봇의 손이 철선을 이용하여 철근을 결속하고, 
상기 드론이 상기 철선을 운반하고, 
상기 3D프린터의 플로터가 상기 결속된 철근의 위치에 콘크리트를 타설하는 것을 특징으로 하는 장비",https://www.keywert.com/detail?uuid=1466ee73-553d-4828-a4bf-e93094f6d2ee
